Vergangene_Minuten;Instagram_Kommentare
0;2
1;2
2;2
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;2
34;2
35;1
36;1
37;0
38;3
39;0
40;0
41;0
42;0
43;1
44;1
45;1
46;4
47;1
48;2
49;0
50;4
51;1
52;2
53;3
54;2
55;0
56;2
57;0
58;1
59;0
60;2
61;2
62;5
63;3
64;2
65;2
66;4
67;4
68;1
69;0
70;2
71;4
72;0
73;0
74;0
75;1
76;2
77;0
78;1
79;1
80;1
81;2
82;1
83;1
84;0
85;3
86;1
87;0
88;0
89;2
90;0
91;1
92;1
93;1
94;1
95;0
96;0
97;0
98;0
99;0
100;1
101;0
102;1
103;0
104;1
105;1
106;0
107;2
108;0
109;0
110;0
111;0
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
